"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","62912","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","66959","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"Test that combining legacy flags with explicit --disaggregation-mode raises ValueError.","3","test_conflicting_legacy_and_new_flags_raises","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","67064","test_serve_deployment[agg-router]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"","1","test_encode[False]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"
    Test LoRA inference with aggregated vLLM deployment using KV router.

    This test:
    1. Uses MinIO fixture to provide S3-compatible storage with uploaded LoRA
    2. Starts multiple vLLM workers with LoRA support and KV router
    3. Loads the LoRA adapter on both workers via system API
    4. Runs inference with the LoRA model, verifying KV cache routing
    ","34090","test_lora_aggregated_router[2]","tests.serve","2026-04-10","broken","2026-04-10","","test_vllm","",""
"","0","test_aggregated[False]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"All strategies fail → RuntimeError with VLLM_NIXL_SIDE_CHANNEL_HOST in message.","1","test_all_fail_raises_runtime_error","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestGetHostIp","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"","1","test_prefill[False]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"
    Validate that chunked prefill blocks are offloaded.

    Test flow:
    1. Send prompt large enough to trigger multiple chunks
    2. Verify total offloaded blocks matches expected for full prefill
    3. Reset cache and re-request to verify onboarding works
    4. Verify determinism across offload/onboard cycle
    ","0","test_chunked_prefill_offload[llm_server_kvbm0]","tests.kvbm_integration","2026-04-10","broken","2026-04-10","","test_chunked_prefill","",""
"Test that build_headless_namespace produces a Namespace with fields
    required by vLLM's run_headless(), including the api_server_count fallback.","19","test_headless_namespace_has_required_fields","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"Single->double->triple identical image requests follow prefix-overlap semantics.","5672","test_vllm_mm_overlap_staircase_single_to_double_to_triple_identical_image","tests.mm_router","2026-04-10","failed","2026-04-10","","test_vllm_mm_router_e2e","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","299774","test_serve_deployment[multi_node_tp_headless]","tests.serve","2026-04-10","failed","2026-04-10","","test_vllm","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","96354","test_serve_deployment[multimodal_agg_frontend_decoding]","tests.serve","2026-04-10","broken","2026-04-10","","test_vllm","",""
"Test that invalid --endpoint format raises ValueError.","4","test_endpoint_invalid_format_raises","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"Test that --is-prefill-worker still works but emits DeprecationWarning.","4","test_legacy_is_prefill_worker_emits_deprecation","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","38088","test_serve_deployment[aggregated_logprobs]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"","42683","test_router_decisions_vllm_multiple_workers[tcp]","tests.router","2026-04-10","passed","2026-04-10","","test_router_e2e_with_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","72226","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"","0","test_prefill_grid_count","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestBenchmarkGrid","test_vllm_unit","",""
"Test that --disaggregation-mode agg --is-decode-worker raises ValueError.","3","test_explicit_default_mode_with_legacy_flag_raises","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"For repeated same single-image request: low first overlap, then increase, then stable.","3566","test_vllm_mm_overlap_repeated_single_image","tests.mm_router","2026-04-10","failed","2026-04-10","","test_vllm_mm_router_e2e","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"Test that environment variables in paths are expanded by Python code.","4","test_custom_jinja_template_env_var_expansion","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"Test that --model-express-url takes precedence over MODEL_EXPRESS_URL.","4","test_model_express_url_cli_overrides_env[mx-source]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"","0","test_benchmark_config_from_dict","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestBenchmarkConfig","test_vllm_unit","",""
"For repeated same 3-HTTP-image request: low first overlap, then increase, then stable.","6166","test_vllm_mm_overlap_repeated_http_images","tests.mm_router","2026-04-10","failed","2026-04-10","","test_vllm_mm_router_e2e","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"
    Test offload → cache reset → onboard cycle with determinism verification.

    Validates that:
    - Initial request triggers offload to CPU cache
    - Cache reset clears GPU cache
    - Repeated request triggers onboard from CPU to GPU
    - Responses are deterministic across the cycle
    ","0","test_offload_and_onboard[llm_server_kvbm0]","tests.kvbm_integration","2026-04-10","broken","2026-04-10","","test_kvbm","",""
"Pre-set env var → verify not overwritten.","0","test_preserves_existing_env_var","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestEnsureSideChannelHost","test_vllm_unit","",""
"
    Test LoRA inference with aggregated vLLM deployment using KV router.

    This test:
    1. Uses MinIO fixture to provide S3-compatible storage with uploaded LoRA
    2. Starts multiple vLLM workers with LoRA support and KV router
    3. Loads the LoRA adapter on both workers via system API
    4. Runs inference with the LoRA model, verifying KV cache routing
    ","0","test_lora_aggregated_router[2]","tests.serve","2026-04-10","skipped","2026-04-10","","test_vllm_xpu","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","73809","test_request_migration_vllm_aggregated[migration_enabled-worker_failure-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","105806","test_serve_deployment[agg-request-plane-tcp]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm","",""
"","0","test_decode_grid_skips_large_ctx","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestBenchmarkGrid","test_vllm_unit","",""
"","0","test_accepts_private_ipv4","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestIsRoutable","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","61926","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"","0","test_rejects_loopback_v4","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestIsRoutable","test_vllm_unit","",""
"Test that DYN_CONNECTOR env var raises error for vLLM backend.","4","test_env_var_dyn_connector_raises_error","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","37127","test_serve_deployment[guided_decoding]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","129448","test_serve_deployment[aggregated_lmcache_multiproc]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm_xpu","",""
"","1","test_aggregated[True]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","37890","test_serve_deployment[guided_decoding]","tests.serve","2026-04-10","passed","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"Test that model_express_url is None when load format is not mx-*.","4","test_model_express_url_none_for_default_load_format","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"","0","test_decode[False]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"For repeated same 3-image request: low first overlap, then increase, then stable.","6467","test_vllm_mm_overlap_repeated_three_images","tests.mm_router","2026-04-10","failed","2026-04-10","","test_vllm_mm_router_e2e","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-10","skipped","2026-04-10","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","71252","test_request_migration_vllm_aggregated[migration_enabled-graceful_shutdown-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-10","passed","2026-04-10","","test_vllm","",""
"All strategies fail, no env var → RuntimeError.","1","test_raises_when_detection_fails_and_no_env","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestEnsureSideChannelHost","test_vllm_unit","",""
"","1","test_encode[True]","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","TestCreate","test_vllm_worker_factory","",""
"Test _connector_to_kv_transfer_json wraps multiple connectors in PdConnector.","0","test_connector_to_kv_transfer_json_multi","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"Test that default disaggregation mode is AGGREGATED.","4","test_disaggregation_mode_default","components.src.dynamo.vllm.tests","2026-04-10","passed","2026-04-10","","test_vllm_unit","",""
"","85837","test_vllm_indexers_sync[nats_core]","tests.router","2026-04-10","passed","2026-04-10","","test_router_e2e_with_vllm","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","0","test_serve_deployment[agg-router-approx]","tests.serve","2026-04-10","skipped","2026-04-10","","test_vllm_xpu","",""
